#Machine Module,SSA3021X
#Y Axis Scale,LOG
#Y Axis Unit,dBm
#Impedance,50
#Number of Points,751
#Sweep Time(s),0.024000,Auto
#Start Frequency,+1.000000000e+06
#Stop Frequency,+6.000000000e+07
#Average Type,Log Pwr
#RBW,300000.000000,Auto
#VBW,300000.000000,Auto
#Sweep Type,Continuous
#Sweep Mode,Auto
#Sweep Rule,Speed
#PreAmp State,ON
#Ref Level,-1.000000000e+01
#Attenuation,30,Auto
#Trigger Source,FreeRun
#Trigger Level,+0.000000000e+00
#Trigger Edge,FALL
#Marker Information
#Marker,Trace,Type,X Axis,Amplitude
#M2,B,Frequency,12.092000 MHz,-66.19 dBm
#Trace Math,0
#Trace Variable X,Trace A
#Trace Variable Y,Trace B
#Trace Variable Z,Trace C
#Trace Name,Trace B,Trace C,Trace D
#Trace Type,View,View,View
#Trace Detector,Sample,Sample,Pos Peak
#Trace Data
2.381333e+07,-5.545069e+01,-5.542871e+01,-8.103009e+01
2.389200e+07,-5.503718e+01,-5.519421e+01,-8.095384e+01
2.397067e+07,-5.590051e+01,-5.544406e+01,-8.184691e+01
2.404933e+07,-5.571133e+01,-5.632980e+01,-8.139080e+01
2.412800e+07,-5.484852e+01,-5.604802e+01,-8.103648e+01
2.420667e+07,-5.515835e+01,-5.434500e+01,-8.115051e+01
2.428533e+07,-5.533642e+01,-5.614278e+01,-8.147304e+01
2.436400e+07,-5.539335e+01,-5.446598e+01,-8.020936e+01
2.444267e+07,-5.394978e+01,-5.420346e+01,-8.180301e+01
2.452133e+07,-5.557936e+01,-5.627899e+01,-8.066082e+01
2.460000e+07,-5.451435e+01,-5.436707e+01,-8.114370e+01
2.467867e+07,-5.389550e+01,-5.549075e+01,-8.183842e+01
2.475733e+07,-5.164581e+01,-5.519387e+01,-8.137466e+01
2.483600e+07,-5.002049e+01,-5.469210e+01,-8.128604e+01
2.491467e+07,-4.740737e+01,-5.518165e+01,-8.105822e+01
2.499333e+07,-4.630293e+01,-5.413825e+01,-8.189256e+01
